Date,Start (local),Visitor/Neutral,PTS,Home/Neutral,PTS,,Overtimes,Notes
Wed Oct 12 2016,12:00 AM NUL,Olympiacos,65,Real Madrid,83,,,Regular Season
Thu Oct 13 2016,12:00 AM NUL,CSKA Moscow,109,Galatasaray Odeabank,84,,,Regular Season
Thu Oct 13 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,97,EA7 Emporio Armani Milan,99,,,Regular Season
Thu Oct 13 2016,12:00 AM NUL,Darussafaka Dogus,73,Crvena Zvezda mts,70,,,Regular Season
Fri Oct 14 2016,12:00 AM NUL,Zalgiris,76,Panathinaikos Superfoods,84,,,Regular Season
Fri Oct 14 2016,12:00 AM NUL,Brose Bamberg,66,Fenerbahce,67,,,Regular Season
Fri Oct 14 2016,12:00 AM NUL,FC Barcelona Lassa,69,UNICS,63,,,Regular Season
Fri Oct 14 2016,12:00 AM NUL,Anadolu Efes,84,Baskonia,85,,,Regular Season
Thu Oct 20 2016,12:00 AM NUL,UNICS,86,Brose Bamberg,89,,,Regular Season
Thu Oct 20 2016,12:00 AM NUL,EA7 Emporio Armani Milan,81,Darussafaka Dogus,80,,,Regular Season
Thu Oct 20 2016,12:00 AM NUL,Real Madrid,89,Maccabi FOX Tel Aviv,82,,,Regular Season
Thu Oct 20 2016,12:00 AM NUL,Anadolu Efes,66,Olympiacos,90,,,Regular Season
Fri Oct 21 2016,12:00 AM NUL,Fenerbahce,73,FC Barcelona Lassa,72,,,Regular Season
Fri Oct 21 2016,12:00 AM NUL,Panathinaikos Superfoods,77,CSKA Moscow,81,,,Regular Season
Fri Oct 21 2016,12:00 AM NUL,Crvena Zvezda mts,85,Galatasaray Odeabank,83,,,Regular Season
Fri Oct 21 2016,12:00 AM NUL,Baskonia,73,Zalgiris,78,,,Regular Season
Tue Oct 25 2016,12:00 AM NUL,CSKA Moscow,93,Anadolu Efes,87,,,Regular Season
Tue Oct 25 2016,12:00 AM NUL,EA7 Emporio Armani Milan,81,Olympiacos,91,,,Regular Season
Tue Oct 25 2016,12:00 AM NUL,Baskonia,91,Real Madrid,87,,,Regular Season
Tue Oct 25 2016,12:00 AM NUL,Darussafaka Dogus,94,UNICS,87,,,Regular Season
Wed Oct 26 2016,12:00 AM NUL,Panathinaikos Superfoods,84,Brose Bamberg,83,,,Regular Season
Wed Oct 26 2016,12:00 AM NUL,Galatasaray Odeabank,92,Maccabi FOX Tel Aviv,98,,,Regular Season
Wed Oct 26 2016,12:00 AM NUL,FC Barcelona Lassa,65,Crvena Zvezda mts,76,,,Regular Season
Wed Oct 26 2016,12:00 AM NUL,Zalgiris,68,Fenerbahce,82,,,Regular Season
Thu Oct 27 2016,12:00 AM NUL,UNICS,80,CSKA Moscow,98,,,Regular Season
Thu Oct 27 2016,12:00 AM NUL,Anadolu Efes,84,Darussafaka Dogus,79,,,Regular Season
Thu Oct 27 2016,12:00 AM NUL,Real Madrid,101,EA7 Emporio Armani Milan,90,,,Regular Season
Thu Oct 27 2016,12:00 AM NUL,Olympiacos,95,Baskonia,90,,,Regular Season
Fri Oct 28 2016,12:00 AM NUL,Brose Bamberg,74,FC Barcelona Lassa,78,,,Regular Season
Fri Oct 28 2016,12:00 AM NUL,Fenerbahce,103,Galatasaray Odeabank,87,,,Regular Season
Fri Oct 28 2016,12:00 AM NUL,Crvena Zvezda mts,59,Panathinaikos Superfoods,70,,,Regular Season
Fri Oct 28 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,87,Zalgiris,74,,,Regular Season
Wed Nov 2 2016,12:00 AM NUL,FC Barcelona Lassa,79,Maccabi FOX Tel Aviv,69,,,Regular Season
Wed Nov 2 2016,12:00 AM NUL,UNICS,81,Fenerbahce,73,,,Regular Season
Thu Nov 3 2016,12:00 AM NUL,EA7 Emporio Armani Milan,102,Brose Bamberg,106,,,Regular Season
Thu Nov 3 2016,12:00 AM NUL,CSKA Moscow,81,Olympiacos,75,,,Regular Season
Thu Nov 3 2016,12:00 AM NUL,Galatasaray Odeabank,81,Real Madrid,90,,,Regular Season
Fri Nov 4 2016,12:00 AM NUL,Panathinaikos Superfoods,83,Anadolu Efes,91,,,Regular Season
Fri Nov 4 2016,12:00 AM NUL,Baskonia,70,Crvena Zvezda mts,63,,,Regular Season
Fri Nov 4 2016,12:00 AM NUL,Darussafaka Dogus,83,Zalgiris,80,,,Regular Season
Thu Nov 10 2016,12:00 AM NUL,Zalgiris,86,FC Barcelona Lassa,92,,,Regular Season
Thu Nov 10 2016,12:00 AM NUL,Brose Bamberg,70,Darussafaka Dogus,72,,,Regular Season
Thu Nov 10 2016,12:00 AM NUL,Anadolu Efes,92,EA7 Emporio Armani Milan,105,,,Regular Season
Thu Nov 10 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,75,Panathinaikos Superfoods,83,,,Regular Season
Thu Nov 10 2016,12:00 AM NUL,Crvena Zvezda mts,62,UNICS,65,,,Regular Season
Fri Nov 11 2016,12:00 AM NUL,Real Madrid,90,CSKA Moscow,91,,,Regular Season
